term,Category,Freq,Term,Total,loglift,logprob
1985,Default,0.99,기자,27189,25.0,25.0
3424,Default,0.99,무단,21575,21.90279157012027,21.90279157012027
337,Default,0.99,20일,20858,21.507227187465517,21.507227187465517
7204,Default,0.99,재배포,20443,21.27827430210747,21.27827430210747
1890,Default,0.99,금지,19890,20.973187686196624,20.973187686196624
4627,Default,0.99,서울,17110,19.43947920114752,19.43947920114752
4418,Default,0.99,사진,12875,17.103056383096103,17.103056383096103
7914,Default,0.99,지난,12552,16.924859318106588,16.924859318106588
304,Default,0.99,2016,11149,16.150833057486484,16.150833057486484
1121,Default,0.99,것으로,10447,15.763544080326604,15.763544080326604
2434,Default,0.99,뉴시스,9950,15.489352311596601,15.489352311596601
2681,Default,0.99,대한,9054,14.995034756703078,14.995034756703078
9325,Default,0.99,함께,7946,14.383758137482069,14.383758137482069
8048,Default,0.99,진행,7842,14.326381992717643,14.326381992717643
2667,Default,0.99,대표,7727,14.26293721725698,14.26293721725698
6170,Default,0.99,오후,7695,14.245283018867925,14.245283018867925
7249,Default,0.99,저작권자,7556,14.16859759461547,14.16859759461547
6701,Default,0.99,이번,7434,14.101290963257199,14.101290963257199
2965,Default,0.99,때문,6780,13.7404832836809,13.7404832836809
3530,Default,0.99,미국,6586,13.633454705947258,13.633454705947258
6658,Default,0.99,이날,6340,13.497738055831402,13.497738055831402
1511,Default,0.99,관련,6295,13.472911839346795,13.472911839346795
2430,Default,0.99,뉴스1,5964,13.290301224760013,13.290301224760013
7563,Default,0.99,제공,5715,13.152929493545184,13.152929493545184
2663,Default,0.99,대통령,5682,13.134723601456471,13.134723601456471
8161,Default,0.99,참석,5629,13.1054838353746,13.1054838353746
6117,Default,0.99,예정,5612,13.096105042480415,13.096105042480415
234,Default,0.99,19일,5573,13.074588988193755,13.074588988193755
6671,Default,0.99,이라고,5560,13.0674169700982,13.0674169700982
6153,Default,0.99,오전,5291,12.919011364890213,12.919011364890213
3786,Default,0.99,방송,5246,12.894185148405604,12.894185148405604
6283,Default,0.99,우리,5234,12.88756482400971,12.88756482400971
1244,Default,0.99,경찰,5198,12.867703850822023,12.867703850822023
6055,Default,0.99,영상,4974,12.744124462098643,12.744124462098643
4349,Default,0.99,사람,4919,12.713781308617456,12.713781308617456
1385,Default,0.99,공감,4751,12.62109676707492,12.62109676707492
8379,Default,0.99,최근,4726,12.607304424583472,12.607304424583472
9241,Default,0.99,한국,4698,12.591857000993048,12.591857000993048
6017,Default,0.99,연합뉴스,4688,12.58634006399647,12.58634006399647
2429,Default,0.99,뉴스,4682,12.583029901798522,12.583029901798522
3362,Default,0.99,모습,4622,12.549928279819044,12.549928279819044
1387,Default,0.99,공개,4575,12.523998675935122,12.523998675935122
5242,Default,0.99,시작,4459,12.4600022067748,12.4600022067748
6190,Default,0.99,올해,4388,12.420831954099084,12.420831954099084
837,Default,0.99,가장,4328,12.387730332119608,12.387730332119608
6793,Default,0.99,이후,4323,12.384971863621317,12.384971863621317
1222,Default,0.99,경우,4304,12.374489683327816,12.374489683327816
2990,Default,0.99,라고,4298,12.371179521129868,12.371179521129868
6712,Default,0.99,이상,4260,12.350215160542866,12.350215160542866
4351,Default,0.99,사랑,4248,12.343594836146972,12.343594836146972
4697,Topic1,420.6833282386328,선언,1405,0.9898674503311619,0.039880646816253626
962,Topic1,364.6395940925884,강진,667,0.9963854799080979,0.039642512575933785
2667,Topic1,575.444352968766,대표,7727,0.9484336601651616,0.031208381395101657
4950,Topic1,262.3028544155988,손학규,1254,0.9837290208702468,0.0279774626435387
7448,Topic1,210.60019187756907,정계복귀,943,0.985013718154812,0.025921646388625364
7447,Topic1,234.8762921544058,정계,534,0.9944593483560491,0.02498347121241571
6566,Topic1,174.33217398083505,은퇴,289,0.9971306847160561,0.02319774930040561
3849,Topic1,133.570127571648,백련사,159,0.9991677852251871,0.021266578055286398
7307,Topic1,147.81178662439416,전남,769,0.9819463892033353,0.017090990657028023
1718,Topic1,207.01038849027353,국회,3479,0.9353238802783641,0.016048195718875613
8784,Topic1,114.58709905516172,토담집,159,0.9983072228519156,0.016017493638954605
4013,Topic1,190.60272293394212,복귀,761,0.9870770531923495,0.0159314187495317
3142,Topic1,112.5667410879985,만덕산,125,0.999517022124231,0.014708890883650879
3591,Topic1,220.79500835159834,민주당,2007,0.9658178456099993,0.01444880640828626
9188,Topic1,85.16427289052825,하산,124,0.998009002958313,0.013068901562274
714,Topic1,103.63614360063146,80,639,0.9778998938143945,0.012833406053697347
6170,Topic1,192.9217681495164,오후,7695,0.8546111596638095,0.011909880685810222
1312,Topic1,178.0583491761418,고문,1079,0.9783435207640254,0.011336839091672239
2206,Topic1,69.92484312599373,낙선,116,0.9971255990637239,0.011290908190447832
7465,Topic1,70.397373357309,정론관에서,508,0.9735251921284304,0.010986630094165313
3955,Topic1,67.5839098282561,보궐선거,115,0.9969400549284617,0.010945303903033977
2627,Topic1,38.048876925850436,대선경쟁,40,0.9997757112130454,0.010398820539509319
5706,Topic1,145.61245527366498,야권,450,0.9909377325300526,0.009923555764275357
553,Topic1,91.08756434989776,4시,370,0.9867812065549121,0.009741925554934755
396,Topic1,46.489220600336964,2년여간,90,0.995922141581081,0.009738295936719306
301,Topic1,143.90765107319274,2014년,1713,0.9544708594978173,0.009510354862548783
9658,Topic1,32.78926635242185,회견장,53,0.9973106767572234,0.008970130842435942
1598,Topic1,72.37458888042129,구도,140,0.9959288763692875,0.00883673807020292
3685,Topic1,29.753736085444533,박철,58,0.995863988932768,0.008753928440029394
6017,Topic1,76.20183896401151,연합뉴스,4688,0.7906582675465939,0.008696060676958047
6658,Topic1,180.0124964333581,이날,6340,0.8697875472000616,0.008259924150512443
6808,Topic1,106.10549308212157,인근,1607,0.9417229433114188,0.00814817598024245
2430,Topic1,73.68477193585866,뉴스1,5964,0.7408933107372967,0.008032576090861148
7535,Topic1,102.11925116860948,정치권,361,0.9890310709360615,0.007875289107250839
6153,Topic1,106.31123876106872,오전,5291,0.8241601577417518,0.00778771997097315
719,Topic1,73.74785132770312,81,245,0.9899432165286581,0.007679300895861822
94,Topic1,51.00185195189311,120,164,0.9904002860003749,0.007647338441162876
1991,Topic1,69.746274451794,기자회견,1139,0.9371465085850911,0.007565694517031683
5036,Topic1,64.03404374802454,수원,461,0.9735951979551267,0.007530216278716301
337,Topic1,197.07795426048796,20일,20858,0.6855691856325414,0.007432070792150318
304,Topic1,59.67529202335807,2016,11149,0.5515821406109732,0.007336934452189337
